title,author,length,release_date
The Missing Half,"By: Ashley Flowers, Alex Kiester - contributor",Length: 10 hrs and 30 mins,Release date: 05-06-25
The Path of Ascension 7,By: C. Mantis,Length: 15 hrs and 28 mins,Release date: 08-21-24
Dungeon Lord: Nightmare Kingdom,By: Hugo Huesca,Length: 30 hrs and 6 mins,Release date: 08-29-24
The Late Lord Thorpe,By: Peter Grainger,Length: 14 hrs,Release date: 10-29-24
Bad to the Throne,By: Eric Ugland,Length: 13 hrs and 17 mins,Release date: 08-20-24
The Dragon's Prophecy,By: Jonathan Cahn,Length: 9 hrs and 39 mins,Release date: 09-03-24
Hell's Wardens,By: pirateaba,Length: 26 hrs and 36 mins,Release date: 11-12-24
Apprentice to the Villain,By: Hannah Nicole Maehrer,Length: 12 hrs and 40 mins,Release date: 08-20-24
Spirit Crossing,By: William Kent Krueger,Length: 10 hrs and 2 mins,Release date: 08-20-24
Terran Tactics,By: Daniel Schinhofen,Length: 10 hrs and 35 mins,Release date: 09-10-24
Zero Sum,By: John Gilstrap,Length: 10 hrs and 23 mins,Release date: 08-20-24
Task Force Hammer,By: Craig Alanson,Length: 21 hrs and 40 mins,Release date: 09-10-24
Quicksilver,By: Callie Hart,Length: 21 hrs and 51 mins,Release date: 10-29-24
The Professional Coach,By: Melinda Cohan,Length: 5 hrs and 4 mins,Release date: 08-15-24
Viciously Yours,By: Jamie Applegate Hunter,Length: 7 hrs and 24 mins,Release date: 08-20-24
Letter for Gene,By: C.J. Petit,Length: 12 hrs and 52 mins,Release date: 08-16-24
"Mushoku Tensei: Jobless Reincarnation (Light Novel), Vol. 23",By: Rifujin na Magonote,Length: 8 hrs and 10 mins,Release date: 08-15-24
AnimeCon 2,By: FortySixtyFour,Length: 17 hrs and 21 mins,Release date: 08-16-24
From the Wizarding Archive,"By: J.K. Rowling, Evanna Lynch - foreword",Length: 8 hrs and 3 mins,Release date: 08-29-24
Help Me to Negotiate and Get What I Want,By: Vaughn Carter,Length: 3 hrs and 26 mins,Release date: 08-16-24
Bridesmaid Undercover,By: Meghan Quinn,Length: 15 hrs and 4 mins,Release date: 08-20-24
Imminent,By: Luis Elizondo,Length: 10 hrs,Release date: 08-20-24
Drumindor,By: Michael J. Sullivan,Length: 12 hrs and 45 mins,Release date: 10-21-24
The Devil at His Elbow,By: Valerie Bauerlein,Length: 14 hrs and 52 mins,Release date: 08-20-24
Mark of the Fool 6,By: J.M. Clarke,Length: 23 hrs and 3 mins,Release date: 07-31-24
Protocols,By: Andrew D. Huberman Ph.D.,Length: 10 hrs,Release date: 04-22-25
True North: The First Three Volumes,By: Sarina Bowen,Length: 28 hrs and 57 mins,Release date: 08-16-24
Trivia For Seniors,By: Luciana Hill,Length: 6 hrs and 33 mins,Release date: 08-16-24
Dead Med,By: Freida McFadden,Length: 10 hrs and 3 mins,Release date: 08-20-24
Growling Grimoire,By: Danielle Garrett,Length: 5 hrs and 29 mins,Release date: 09-03-24
"Heretical Fishing 3: A Cozy Guide to Annoying the Cults, Outsmarting the Fish, and Alienating Oneself",By: Haylock Jobson,Length: 17 hrs and 46 mins,Release date: 11-12-24
Spitfire Storm,By: Nicholas Harvey,Length: 7 hrs and 41 mins,Release date: 08-16-24
